road_id,noise_actual,pred_lr,resid_lr,pred_xgb,resid_xgb,pred_rf,resid_rf,outlier_lr,outlier_xgb,outlier_rf,consensus
30237873_30238023_0,60,56.31,3.69,58.42,1.58,59.95,0.05,0,0,0,0
30238005_30237873_0,60,57.56,2.44,60.43,-0.43,60.1,-0.1,0,0,0,0
4625178488_338936674_0,45,46.94,-1.94,45.45,-0.45,45.7,-0.7,0,0,0,0
30238006_30238005_0,65,58.34,6.66,64.92,0.08,63.65,1.35,0,0,0,0
30238006_30237700_0,60,59.5,0.5,64.01,-4.01,63.1,-3.1,0,0,0,0
30238009_10181609602_0,60,56.54,3.46,58.78,1.22,57.75,2.25,0,0,0,0
30238009_30243048_0,60,55.28,4.72,58.22,1.78,59.05,0.95,0,0,0,0
30238011_30243883_0,55,55.71,-0.71,57.03,-2.03,55.75,-0.75,0,0,0,0
30238011_365549375_0,65,54.69,10.31,59.63,5.37,63.25,1.75,0,0,0,0
4625701820_4990469757_0,50,48.38,1.62,50.23,-0.23,49.15,0.85,0,0,0,0
30238015_3134765936_0,55,56.54,-1.54,56.72,-1.72,56.0,-1.0,0,0,0,0
30238016_1479334732_0,55,55.23,-0.23,53.49,1.51,54.25,0.75,0,0,0,0
30238016_30238015_0,55,55.87,-0.87,56.42,-1.42,56.05,-1.05,0,0,0,0
30238017_30238016_0,60,55.21,4.79,57.46,2.54,59.15,0.85,0,0,0,0
30238018_530687873_0,55,54.29,0.71,55.44,-0.44,55.5,-0.5,0,0,0,0
30238018_30238017_0,55,54.92,0.08,56.04,-1.04,56.5,-1.5,0,0,0,0
30238020_30243362_0,60,54.56,5.44,59.0,1.0,59.5,0.5,0,0,0,0
30238020_4840145821_0,60,54.34,5.66,57.52,2.48,59.3,0.7,0,0,0,0
30238021_30238020_0,55,53.71,1.29,57.26,-2.26,57.1,-2.1,0,0,0,0
30238023_7580972991_0,50,56.49,-6.49,55.3,-5.3,53.7,-3.7,0,0,0,0
30238023_30243365_0,60,57.45,2.55,61.26,-1.26,59.45,0.55,0,0,0,0
30238025_30243366_0,60,56.18,3.82,61.89,-1.89,59.65,0.35,0,0,0,0
30238025_30237640_0,55,56.04,-1.04,59.03,-4.03,56.85,-1.85,0,0,0,0
30238026_30243367_0,60,59.44,0.56,62.7,-2.7,61.8,-1.8,0,0,0,0
30238027_30243368_0,60,52.33,7.67,58.97,1.03,58.0,2.0,0,0,0,0
30238027_30238026_0,65,56.07,8.93,65.42,-0.42,63.35,1.65,0,0,0,0
30238029_301572459_0,60,54.98,5.02,59.13,0.87,59.85,0.15,0,0,0,0
30238029_442540250_0,60,54.36,5.64,59.75,0.25,60.3,-0.3,0,0,0,0
30238030_442540240_0,60,55.53,4.47,60.95,-0.95,59.95,0.05,0,0,0,0
