street_id,noise_day,noise_evening,noise_night,road_length,road_category,distance_to_road
5236,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),128.30085937359243,tertiary,0.0
5237,< 40 dB(A),< 40 dB(A),< 40 dB(A),58.842388892210984,residential,53.560112338458595
5238,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A),24.131253754177123,residential,0.0
5239,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),125.27893704912115,trunk,1.8673867143494538
5240,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),58.97613088078582,living_street,0.0
5241,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A),27.116732030412802,living_street,0.6501280980099394
5242,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),61.928210267426934,residential,0.0
5243,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),36.209975652166875,tertiary,0.0
5244,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),101.96151876180613,residential,0.0
5245,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),47.647055207183364,residential,0.012127467589513975
5246,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A),85.21294570307646,residential,0.0
5247,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A),34.874208935388225,living_street,21.578752508762307
5248,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),307.4757103656507,secondary,0.0
5249,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),60.866103631284524,primary,0.0
5250,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),87.57508294732675,residential,0.16010449865565066
5251,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),131.14468968298453,secondary,0.31495152808466065
5252,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),95.98910723194474,residential,0.0
5253,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),135.82675085940477,tertiary,0.0
5254,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),46.063867753740034,living_street,0.5168644238723031
5255,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),156.06590113867745,residential,0.0
5256,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),27.366531571073192,residential,0.24123787083537182
5257,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),46.53763062947118,living_street,6.618174336286853
5258,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),39.516233975184754,residential,0.0
5259,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),51.43550592764481,living_street,0.0
5260,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),38.31394430635676,trunk,0.0
5261,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),38.09966328841205,primary,0.0
