road_id,lden_db
1094360224_1094360531_0,62.0
1094360277_1134266124_0,62.0
1094360277_1094360283_0,62.0
1094360283_1094360537_0,61.0
1094360316_1094360320_0,57.0
1094360316_1094360371_0,57.0
1094360320_1094360316_0,57.0
1094360320_1094360592_0,57.0
1094360355_1094360316_0,57.0
1094360355_1094360371_0,57.0
1094360371_1094360207_0,57.0
1094360371_1094360224_0,57.0
1094360498_1094360355_0,63.0
1094360498_1095440291_0,63.0
1094360531_1094360277_0,62.0
1094360531_1094360283_0,62.0
1094360537_5346948499_0,62.0
1094360537_1094360498_0,63.0
1094360581_1085377812_0,57.0
1094360581_1094360320_0,57.0
1094360592_1095440240_0,57.0
1094360592_1094077940_0,57.0
1095439352_1095439863_0,62.0
1095439366_1095439352_0,56.0
1095439366_1095439659_0,56.0
1095439377_1095439435_0,56.0
1095439377_1095439366_0,56.0
1095439387_1095439377_0,56.0
1095439387_1095439470_0,56.0
1095439392_1095439387_0,56.0
1095439392_1095439401_0,62.0
1095439401_1113674835_0,56.0
1095439401_4087742266_0,62.0
1095439435_1094077912_0,56.0
1095439448_1092247501_0,59.0
1095439448_4087742279_0,56.0
1095439470_1095440086_0,56.0
1095439489_1131141541_0,62.0
1095439489_1243851855_0,56.0
1095439501_1188131659_0,62.0
1095439501_1095440068_0,62.0
1095439505_1116623956_0,59.0
1095439505_1512110718_0,63.0
1095439556_1095440068_0,62.0
1095439556_4087692906_0,62.0
1095439603_1095439377_0,56.0
1095439603_1095439556_0,56.0
1095439629_1188085598_0,62.0
1095439629_1672512265_0,62.0
1095439659_1095439629_0,62.0
1095439681_1095439863_0,62.0
1095439681_1095439702_0,62.0
1095439702_1096529613_0,62.0
1095439702_4087692913_0,62.0
1095439849_1094077886_0,61.0
1095439849_1095439352_0,56.0
1095439863_1095439681_0,62.0
1095439863_1095439882_0,62.0
1095439882_1145610668_0,56.0
1095439882_1095439849_0,56.0
1095440068_1095439556_0,62.0
1095440068_1095439470_0,56.0
1095440086_1095440188_0,62.0
1095440086_1095439501_0,62.0
1095440170_1095440188_0,62.0
1095440188_1095439489_0,62.0
1095440188_1095440086_0,62.0
1095440240_1094360592_0,57.0
1095440240_1095440295_0,63.0
1095440291_1095440295_0,63.0
1095440291_1131141534_0,56.0
1095440291_1094360498_0,63.0
1095440295_1095440291_0,63.0
1095440295_1096529573_0,63.0
1095440376_1095440543_0,54.0
1095440425_1128236277_0,63.0
1095440425_1095440240_0,57.0
1095440543_1095440376_0,54.0
1095440543_1094237192_0,54.0
1096507243_2404830460_0,62.0
1096507245_1116354100_0,55.0
1096507245_246182757_0,55.0
1096513760_1096513772_0,55.0
1096513772_1177157024_0,55.0
1096529573_1095440425_0,63.0
1096529577_1096529573_0,56.0
1096529577_1131141534_0,62.0
1096529607_1672512265_0,62.0
1096529607_1095439603_0,56.0
1096529613_1095439659_0,56.0
1096529613_1095439702_0,62.0
1104961855_1084139081_0,62.0
1104961855_1119033380_0,62.0
1105037070_4087692901_0,63.0
1105037070_1105149745_0,62.0
1105037086_1131141538_0,59.0
1105149728_1130882694_0,63.0
1105149728_1134264310_0,65.0
1105149745_1105037070_0,62.0
1105149745_5401631423_0,62.0
1105149764_1187706670_0,61.0
1105149764_5345118961_0,61.0
1105149764_1130882703_0,59.0
1105149775_1116623956_0,61.0
1105149775_1512110718_0,59.0
1105149778_1512110711_0,61.0
1105149778_1116623855_0,59.0
1108381682_1108381685_0,59.0
1108381682_1105149745_0,63.0
1108381685_4087692901_0,63.0
1108381685_1095439505_0,59.0
1108381695_5401629314_0,59.0
1108381701_1119065594_0,59.0
1109639584_409292136_0,61.0
1109639597_10093451978_0,69.0
1109639597_1109639608_0,69.0
1109639608_4558538598_0,69.0
1113674820_1092247552_0,46.0
1113674820_1092219019_0,59.0
1113674833_1092205604_0,61.0
1113674833_1092247454_0,59.0
1113674835_1095439435_0,56.0
1113674835_1095439387_0,56.0
1113674836_1092247492_0,59.0
1113674836_1113674833_0,61.0
1113674838_1092219000_0,59.0
1113674838_1180833968_0,46.0
1113674839_1094296489_0,56.0
1113674839_1094077912_0,56.0
1113674839_1113674835_0,56.0
1113674840_1092247529_0,46.0
1113674840_1113674859_0,61.0
1113674840_1180802572_0,61.0
1113674842_1113674857_0,46.0
1113674842_1092247431_0,46.0
1113674852_1113674836_0,61.0
1113674852_1092247422_0,46.0
1113674854_1113674838_0,46.0
1113674854_1092247444_0,59.0
1113674856_1096529577_0,62.0
1113674856_1131141541_0,56.0
1113674857_1113674854_0,46.0
1113674857_1092219034_0,46.0
1113674859_1092263800_0,59.0
1113674859_1113674852_0,61.0
1116354114_1094296604_0,55.0
1116623855_1105037086_0,59.0
1116623855_1095439505_0,63.0
1116623956_1105149778_0,61.0
1116623956_1512110733_0,59.0
1119033360_1104961855_0,62.0
1119033368_1134264331_0,58.0
1119033368_1119033371_0,58.0
1119033371_1186101444_0,58.0
1119033371_1134264331_0,58.0
1119033371_1094360109_0,58.0
1119033380_1119033368_0,58.0
1119033380_1094360111_0,62.0
1119033381_1187722477_0,58.0
1119065594_1119065601_0,62.0
1119065594_1119065624_0,62.0
1119065601_1134266148_0,62.0
1119065619_1119065624_0,62.0
1119065619_1119065601_0,62.0
1119065624_1119065718_0,62.0
1119065628_1119104444_0,57.0
1119065633_4569285099_0,62.0
1119065633_1119065641_0,62.0
1119065641_1119065648_0,46.0
1119065648_1119065698_0,62.0
1119065648_1119065628_0,62.0
1119065698_1119065780_0,62.0
1119065718_1140034971_0,57.0
1119065718_1119065734_0,62.0
1119065732_1108381701_0,62.0
1119065734_10095475579_0,62.0
1119065734_1119065732_0,62.0
1119065774_1119065628_0,62.0
1119065774_1119065698_0,62.0
1119065780_1119065619_0,62.0
1119093840_1119065641_0,62.0
1119093840_4569285099_0,62.0
1119093872_1119093874_0,67.0
1119093874_1119093895_0,62.0
1119093874_607644080_0,67.0
1119093895_1124981438_0,64.0
1119093895_1119093896_0,62.0
1119093896_1119093915_0,57.0
1119093915_1119093920_0,57.0
1119093915_4358780505_0,57.0
