road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street
18232186_18232187_0,2,2,1,5,2600.2750383070274,193.66543330741578,210.03964401287868,479.51409301819007,0.0,90.4107150449772
18232187_34235998_0,1,1,0,5,2619.2776146684823,312.27944825495956,113.14269511616746,499.896713404865,0.0,209.87186153145865
18232187_18697389_0,2,2,1,5,2515.5755029618103,291.920620996502,210.03964401287868,499.896713404865,0.0,209.87186153145865
18697376_18697402_0,3,3,2,5,2281.350915092229,46.59516699590346,109.487918798572,376.55113806911265,0.0,419.18656633510363
18697376_2924143717_0,3,3,2,5,2269.7010173323765,46.444777334331306,124.66915887885972,376.55113806911265,0.0,353.43686590457565
18697378_18697402_0,3,3,2,5,2390.98013717031,162.25471824713003,109.487918798572,399.8041870568464,0.0,288.7881711066058
18697383_8883130215_0,4,4,3,3,2298.5287917488477,57.65419405851761,0.0,251.21366561997783,0.0,522.8748288977347
18697383_21992981_0,2,2,1,3,2413.233851126904,171.327540752369,0.0,292.6624007105934,0.0,467.1828415450713
18697383_18697402_0,3,3,2,5,2401.541716247451,165.89368712164992,0.0,292.6624007105934,0.0,419.18656633510363
18697385_18697420_0,3,3,2,4,1399.553303238149,138.3175285391797,239.4739535382275,0.0,0.0,191.57622150099675
18697385_25153048_0,3,3,2,5,1391.0937194907876,138.3175285391797,239.75419276019917,0.0,0.0,203.0065018282652
18697389_21510475_0,2,2,1,5,2515.5755029618103,291.920620996502,101.24023404962527,511.26459338453833,0.0,235.1821819413724
18697389_18697378_0,2,2,1,5,2439.8517208949816,215.4516929332043,215.68492782461826,531.3578015004566,0.0,235.1821819413724
18697393_18697378_0,2,2,1,5,2330.1237623916954,107.80826202029071,215.68492782461826,531.3578015004566,0.0,272.97390435291857
18697393_2924143717_0,3,3,2,5,2284.1194374602705,61.5689194274918,316.47813486570453,560.4081820469034,0.0,282.3261471773356
18697395_18232186_0,2,2,1,5,2452.7976305665065,181.70864361275483,329.43635951100174,479.51409301819007,0.0,90.4107150449772
18697397_1039285712_0,2,2,1,5,1478.118499082335,132.66885925870056,187.7077924092803,0.0,0.0,95.03775219010453
18697397_25305960_0,3,3,2,5,1416.9566867703231,216.90198009983635,187.7077924092803,132.02569948432304,0.0,95.03775219010453
18697400_18697397_0,2,2,1,5,1508.4415246219735,216.90198009983635,96.91583171721088,132.02569948432304,0.0,95.0297358693651
18697400_796917475_0,2,2,1,5,1534.7203546754265,242.90778635439514,95.59674293639458,201.82387560790244,0.0,71.78382101696185
18697402_18697376_0,3,3,2,5,2281.350915092229,46.59516699590346,109.487918798572,376.55113806911265,0.0,419.18656633510363
18697402_18697383_0,3,3,2,5,2401.541716247451,165.89368712164992,0.0,292.6624007105934,0.0,419.18656633510363
18697408_25152680_0,3,3,2,5,1682.0522834727783,0.0,123.96438211205982,19.596709985098787,0.0,84.26799818024398
18697408_3824873200_0,3,3,2,5,1750.245576358815,0.0,123.96438211205982,0.0,0.0,117.63358056858561
18697408_25152618_0,4,4,3,2,1723.7687387315555,0.0,123.96438211205982,0.0,0.0,117.63358056858561
18697411_1475230728_0,3,3,2,5,1376.6334907199382,234.98134758949487,226.55404067804912,148.03505085322476,0.0,138.87629456755786
18697415_25152584_0,4,4,3,3,1831.3324405183146,0.0,0.0,10.608959827239945,0.0,124.65882933492115
18697415_18697408_0,4,4,3,2,1750.245576358815,0.0,0.0,19.596709985098787,0.0,103.83895156630182
18697420_25152846_0,3,3,2,5,1457.7439345837306,33.64247491565714,182.79124770366693,0.0,0.0,148.27268245287064
18697420_1039285712_0,3,3,2,4,1457.7439345837306,132.66885925870056,244.1712102424597,0.0,0.0,168.7587518085968
21510475_18697378_0,2,2,1,5,2439.8517208949816,215.4516929332043,87.94996784451382,455.3437234432482,0.0,288.7881711066058
21510475_21595834_0,2,2,1,5,2570.2829003989896,229.80456914401313,0.0,452.55160829786234,0.0,333.0630985998927
21510476_21510488_0,3,3,2,5,809.7512503799572,29.331520503217003,483.3188323080745,0.0,0.0,29.616255123367445
21510476_1177532202_0,2,2,1,4,809.6107102468833,69.12380053704996,532.7381842454831,0.0,0.0,56.17870303579747
21510476_21510489_0,2,2,1,4,686.4009635228662,66.78133349406752,533.3706864759722,0.0,0.0,50.685880770253355
21510484_492424673_0,2,2,1,5,912.6779089756359,139.2219040918373,605.3189939052814,0.0,0.0,0.0
21510484_21510486_0,2,2,1,4,868.7695282433959,137.77485112814506,591.7012520839365,0.0,0.0,12.348427380337434
21510484_1177532202_0,2,2,1,4,809.6107102468833,123.88251446901846,589.3423976793607,0.0,0.0,12.348427380337434
21510486_21510487_0,2,2,1,4,868.7695282433959,194.1370482267375,624.306498772643,0.0,0.0,155.38819396474253
21510486_21510484_0,2,2,1,4,868.7695282433959,137.77485112814506,591.7012520839365,0.0,0.0,12.348427380337434
21510486_3882989560_0,2,2,1,5,804.0866835822839,194.1370482267375,604.0769935691297,0.0,0.0,172.19179939619002
21510487_21510486_0,2,2,1,4,868.7695282433959,194.1370482267375,624.306498772643,0.0,0.0,155.38819396474253
21510487_25984655_0,2,2,1,4,816.2563454905751,340.768060997386,676.2297103129991,0.0,0.0,171.90832987248388
21510488_27179926_0,4,4,3,4,781.1294758875479,29.331520503217003,483.3188323080745,0.0,0.0,0.0
21510488_21510476_0,3,3,2,5,809.7512503799572,29.331520503217003,483.3188323080745,0.0,0.0,29.616255123367445
21510488_35960757_0,4,4,3,4,809.7512503799572,18.803779709399826,472.85794428685335,0.0,0.0,29.632254069140597
21510489_27179926_0,4,4,3,4,686.4009635228662,36.71675672584326,493.7721868615199,0.0,0.0,0.0
21510489_21510476_0,2,2,1,4,686.4009635228662,66.78133349406752,533.3706864759722,0.0,0.0,50.68588077025335
21510489_33122282_0,4,4,2,5,593.7839376258127,66.78133349406752,544.1209492823044,0.0,0.0,76.07949008386773
21510491_21510487_0,1,1,0,5,887.352478905833,286.5760436080975,749.6913971708526,0.0,0.0,0.0
21510491_26009778_0,2,2,1,5,886.7771875575246,286.5760436080975,713.2953255662035,143.26590851423393,0.0,0.0
21510495_2149820809_0,2,2,1,5,952.0373219687,515.6776957644472,660.7073802470511,410.3394448630079,0.0,188.72426512718778
21595834_21595835_0,4,4,3,3,2620.816164617231,227.8153917935094,0.0,452.55160829786234,0.0,419.9093582061752
21595835_21992836_0,2,2,1,5,2668.5882952000115,130.11491596580757,0.0,382.8549750050915,0.0,419.9093582061752
21595835_143418_0,4,4,3,3,2668.5882952000115,216.5084812046149,0.0,351.00632905124695,0.0,419.59703826538305
21597584_21597589_0,3,3,2,5,1227.5664633256015,136.1328008521438,320.1511142565413,651.7051691444642,0.0,42.040411965574485
21597584_6291616343_0,2,2,1,5,1240.8969857828254,144.78295261746004,324.3366829673147,587.2315021748756,0.0,72.8806948930721
21597584_2384797254_0,3,3,2,5,1240.8969857828254,144.78295261746004,324.3366829673147,638.7722385460477,0.0,67.49444227312149
21597587_21597584_0,3,3,2,5,1170.6629164278079,75.27930336791374,252.8623926713624,651.7051691444642,0.0,0.0
21597588_21597804_0,3,3,2,5,1096.8446081692352,0.0,181.44359025344536,716.523287911272,0.0,0.0
21597588_21597587_0,3,3,2,6,1163.8424547027792,66.1608255438016,248.80863928424762,665.4867978806027,0.0,0.0
21597589_21597588_0,3,3,2,5,1163.8424547027792,66.1608255438016,248.80863928424762,697.6465487003704,0.0,0.0
21597589_21597590_0,3,3,2,5,1211.5367988849164,128.7078510247419,316.8055104147621,697.6465487003704,0.0,0.0
21597590_26583688_0,3,3,2,5,1195.133567063199,121.27270395760314,314.1128961491225,737.9638404027064,0.0,0.0
21597590_21597802_0,3,3,2,6,1090.1018484477036,0.0,186.7562875607525,737.9638404027064,0.0,0.0
21597591_26106298_0,3,3,2,5,1329.8951246616607,213.45478270434097,419.77687776273854,630.7947710424137,0.0,56.01777945974953
21597593_21597589_0,3,3,2,5,1227.5664633256015,136.1328008521438,320.1511142565413,680.1795336666794,0.0,21.484740498656095
21597593_2384797254_0,3,3,2,5,1302.534520702326,187.8477801435575,404.70178899423826,638.7722385460477,0.0,21.484740498656095
21597802_23758496_0,4,4,3,2,1064.2037686455483,0.0,186.7562875607525,782.2278514927716,0.0,0.0
21597804_21597802_0,3,3,2,2,1090.1018484477036,0.0,181.44359025344536,733.4697317921065,0.0,0.0
21597808_21597587_0,3,3,2,5,1095.1347872772355,0.0,176.1932363523388,665.4867978806027,0.0,0.0
21597808_21597804_0,4,4,3,2,1095.1347872772355,0.0,176.1932363523388,683.4287199884106,0.0,55.19701549584337
21600350_18232178_0,2,2,1,5,2584.135423718687,57.23307800788246,312.45596456921373,281.9388408457276,0.0,46.77624614196529
21600350_21600353_0,2,2,1,5,2443.943499933669,36.98103523294537,291.5137175572083,450.7554996744393,0.0,46.778662608806805
21600350_187824746_0,2,2,1,5,2584.135423718687,57.23307800788246,312.45596456921373,450.7554996744393,0.0,0.0
21600353_1969423902_0,3,3,2,5,2443.943499933669,21.528139225580567,275.0227038987865,567.1073496785514,0.0,145.0969633631613
21600353_21600350_0,2,2,1,5,2443.943499933669,36.98103523294537,291.5137175572083,450.7554996744393,0.0,46.778662608806805
21600353_18697393_0,3,3,2,5,2330.1237623916954,36.98103523294537,291.5137175572083,584.5430135319327,0.0,151.15608396882493
21600354_1969423902_0,3,3,2,5,2456.692921979477,0.0,252.29194681206906,546.6497000163554,0.0,141.59077236311325
21600354_10120780902_0,4,4,3,2,2452.637855485585,0.0,252.29194681206906,546.6497000163554,0.0,144.81102740070344
21600355_21600354_0,4,4,3,2,2470.8609787582573,0.0,251.4420339213586,438.48233753518406,0.0,103.73781122397294
21600355_21600350_0,3,3,2,5,2578.4194269862232,0.0,256.99946622222603,438.458957010321,0.0,46.778662608806805
21600355_3727734177_0,3,3,2,5,2559.7132405076163,0.0,139.96764762445065,435.29447792807684,0.0,104.1100447167525
21604533_25337456_0,3,3,2,5,1196.903194978466,254.3757626101371,0.0,74.05153823276082,0.0,103.25809006159886
21604533_26059185_0,3,3,2,5,1112.4491248012728,149.90876786570064,0.0,73.25687260181967,0.0,93.31026502604281
21604533_25450962_0,3,3,1,5,1146.3298400491437,245.26817187629456,0.0,0.0,0.0,129.55256995347645
21604533_25337463_0,4,4,3,3,1196.903194978466,254.3757626101371,0.0,44.37581358347519,0.0,56.09339521568263
21604549_25306180_0,4,4,2,3,1685.319904464873,391.393820828469,0.0,209.1181595043486,0.0,84.04641649260007
21604549_25258725_0,3,3,2,5,1685.319904464873,396.14346129299776,0.0,188.95430971667503,0.0,84.02761295688182
21604550_25310932_0,3,3,2,5,1801.1152315043796,251.76146131895814,0.0,170.66099976415813,0.0,309.63113158239287
21604550_25319259_0,3,3,2,5,1865.851867250094,338.4584805400891,0.0,258.4222125638686,0.0,337.30650594028583
