road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street,dist_to_main
144581463_27252603_0,2,2,1,3,20439.869543628876,469.4263706050347,0.0,0.0,75.2610187376007,1133.065891551071,0.0
144581463_144581477_0,2,2,1,4,20597.450231098228,618.436074726697,0.0,0.0,0.0,1113.4835524603086,0.0
144581468_144581472_0,3,3,3,4,20629.374814317336,720.9579754659163,0.0,0.0,0.0,1238.52683539718,0.0
144581468_5409366735_0,2,2,2,3,20659.843227051406,731.0054172718993,0.0,0.0,0.0,1119.3274491502968,0.0
144581468_27252624_0,3,3,2,3,20638.735084608503,696.7478884392718,0.0,0.0,0.0,1238.52683539718,0.0
144581472_27252619_0,2,2,1,4,20413.718616525475,630.3432535924084,0.0,0.0,0.0,1187.2772608706773,0.0
144581472_144581468_0,3,3,3,4,20629.374814317336,720.9579754659163,0.0,0.0,0.0,1238.52683539718,0.0
144581472_27252624_0,3,3,3,5,20629.374814317336,696.7478884392718,0.0,0.0,0.0,1238.6222697232215,0.0
144581477_29808808_0,1,1,0,4,20791.92924090579,695.9196553638454,115.50650186187407,0.0,0.0,978.4693292770992,115.50650186187407
144581477_144581463_0,2,2,1,4,20597.450231098228,618.436074726697,0.0,0.0,0.0,1113.4835524603086,0.0
144581477_144581482_0,2,2,1,5,20777.08411553084,695.9196553638454,39.465818482145046,0.0,0.0,1106.4959771141132,39.465818482145046
144581482_144581593_0,1,1,1,5,20777.08411553084,800.1769487759163,39.465818482145046,99.7646274370014,0.0,903.1128161189133,39.465818482145046
144581482_5409366735_0,1,1,1,5,20756.94293749483,800.1769487759163,0.0,100.7408770735972,0.0,1106.573759594781,0.0
144581482_144581477_0,2,2,1,5,20777.08411553084,695.9196553638454,39.465818482145046,0.0,0.0,1106.4959771141132,39.465818482145046
144581485_144581559_0,2,2,1,5,20736.74164074992,851.6510663659159,0.0,151.4599677775594,0.0,1108.5619948744777,0.0
144581485_1773426433_0,2,2,1,3,20765.957360062876,851.6510663659159,0.0,151.4599677775594,0.0,947.1821958260987,0.0
144581485_5409366735_0,3,3,2,3,20756.94293749483,841.4072377048882,0.0,144.12770549693073,0.0,1108.5619948744777,0.0
