fid,street_id,signal_count_50m,poi_count_50m,tree_count_50m,transport_count_50m,signal_count_100m,poi_count_100m,tree_count_100m,transport_count_100m
559,T00102F,1,5,1,1,1,14,17,2
560,T08438G,1,1,1,1,1,5,2,1
561,T19212Z,3,1,1,1,5,1,1,4
562,T09984F,1,5,6,1,1,13,11,1
563,T19536Q,1,1,1,1,1,1,1,1
564,T11891A,1,1,1,1,1,1,1,1
565,T21061B,1,8,1,1,1,12,1,2
566,T06939O,1,1,1,1,1,1,1,3
567,T03679B,9,1,1,1,9,3,1,1
568,T17216V,1,7,1,1,2,20,1,1
569,T21329K,1,1,1,1,1,1,1,1
570,T05777K,7,1,110,2,11,2,210,5
571,T12929B,1,1,1,2,1,1,1,2
572,T11782W,1,1,1,1,1,1,1,2
573,T10589T,1,1,1,5,2,4,1,9
574,T17114Q,2,5,98,1,5,5,167,1
575,T11041S,1,1,1,1,6,11,1,1
576,T08027R,1,8,37,1,1,13,37,1
577,T11646P,1,1,1,3,1,1,1,4
578,T19082H,1,1,1,1,1,1,1,1
579,RD0014N,2,2,2,1,4,6,22,2
580,T18827U,4,12,1,1,6,28,1,2
581,T06103E,1,2,1,1,6,2,1,1
582,T08769W,4,9,1,1,5,19,1,2
583,T19587B,1,1,1,1,1,1,1,1
584,T00038O,1,8,9,1,1,20,14,1
585,T18453K,1,1,5,1,1,1,24,2
586,T03066E,1,1,9,1,1,12,9,1
587,T03416G,1,10,1,1,1,16,1,1
588,T20917U,1,1,1,1,1,1,36,1
589,T02396P,9,14,17,2,18,33,41,4
590,T07757O,1,20,1,1,1,45,1,1
591,T20780V,1,3,1,3,1,3,2,5
592,T21307E,1,1,1,1,1,1,1,1
