street_id,bldg_h_mean_50m,bldg_h_max_50m,bldg_h_mean_100m,bldg_h_max_100m
T01780P,12.0,12.0,12.0,12.0
T20181E,23.25,39.0,36.666666666666664,116.0
T10175B,20.0625,30.0,18.96,33.0
T19206B,12.0,12.0,12.0,12.0
T19814T,18.333333333333332,27.0,14.524390243902438,30.0
T17837S,18.0,21.0,19.428571428571427,27.0
T21549U,9.0,12.0,10.5,12.0
T21005T,11.914285714285715,15.0,10.8,15.0
T08929U,18.333333333333332,33.0,17.73913043478261,33.0
T00365A,14.95774647887324,24.0,16.352459016393443,45.0
T06349Y,8.55,30.0,8.926108374384237,30.0
T15887U,5.454545454545454,6.0,8.5,21.0
T08642I,11.844827586206897,12.0,11.787610619469026,27.0
T19530K,25.5,154.0,32.4,154.0
T18778C,13.903846153846153,21.0,15.0,21.0
T04942B,12.0,12.0,10.816901408450704,15.0
T03316D,13.704545454545455,30.0,12.552147239263803,30.0
T04375S,15.857142857142858,27.0,13.251428571428571,27.0
T12609O,2.92,3.0,8.48,36.0
T04292Q,12.0,12.0,12.214285714285714,30.0
T16090V,12.0,12.0,12.0,12.0
T06644C,12.0,12.0,11.4,15.0
T05486C,12.0,12.0,11.823529411764707,18.0
T21565U,12.0,12.0,9.6,12.0
T11346G,12.872727272727273,24.0,14.20183486238532,33.0
T11739T,8.428571428571429,24.0,7.8,24.0
T10392I,17.125,30.0,17.541666666666668,30.0
T16998E,10.098591549295774,21.0,9.777777777777779,30.0
T12782A,10.625,18.0,9.975903614457831,33.0
T06708B,11.25,21.0,11.296296296296296,21.0
T20679Z,7.125,12.0,6.0,12.0
T20686Y,9.0,15.0,8.090909090909092,18.0
T19900Q,12.0,12.0,12.04054054054054,24.0
T11876B,19.016666666666666,288.4,13.048979591836734,288.4
T19143D,14.25,27.0,13.619047619047619,51.0
T07695R,12.160714285714286,18.0,12.206896551724139,24.0
T10060R,14.625,39.0,14.1,39.0
T01708H,13.317073170731707,24.0,12.86111111111111,24.0
T19180I,12.0,12.0,12.9,18.0
T08207T,12.065217391304348,24.0,12.78125,33.0
T03111S,12.827586206896552,30.0,13.037037037037036,45.0
T06212I,9.246268656716419,30.0,9.451807228915662,30.0
T16757P,5.4,9.0,5.3,9.0
T15056P,11.818181818181818,15.0,12.157894736842104,24.0
T11022P,12.0,12.0,12.0,12.0
T06365Y,14.727272727272727,30.0,11.732876712328768,30.0
T00991U,18.6734693877551,27.0,18.384615384615383,33.0
T11137Z,12.25,21.0,12.382978723404255,24.0
T08631F,11.5,15.0,11.714285714285714,15.0
T20433F,12.125,18.0,12.827586206896552,27.0
T04864E,12.933962264150944,33.0,12.142857142857142,33.0
T02092C,22.285714285714285,33.0,19.59036144578313,63.0
T03147E,11.823529411764707,24.0,12.720588235294118,33.0
T04621N,7.573770491803279,18.0,7.037593984962406,18.0
T14793L,17.85,24.0,16.83,27.0
T03315C,12.05084745762712,30.0,12.108433734939759,30.0
T20040S,17.142857142857142,27.0,19.3125,33.0
T07400O,18.46153846153846,57.0,16.772727272727273,57.0
T07949U,13.1625,24.0,12.421276595744681,24.0
T08501W,18.428571428571427,33.0,17.5609756097561,33.0
T16169B,12.0,12.0,12.0,12.0
T17543H,12.882352941176471,24.0,12.882352941176471,24.0
T11030P,14.64,27.0,15.5,30.0
T11476P,12.0,12.0,12.0,12.0
T18773X,13.673076923076923,21.0,14.149606299212598,21.0
T20590R,13.3125,51.0,13.7625,51.0
T03609N,14.914285714285715,30.0,13.830882352941176,30.0
T01455F,17.027027027027028,24.0,16.72661870503597,24.0
T09736R,24.789473684210527,51.0,25.022727272727273,51.0
T19171H,12.0,12.0,16.25,33.0
T07739M,11.833333333333334,21.0,11.82857142857143,24.0
T18636P,12.0,12.0,12.0,12.0
T14457Y,16.90909090909091,42.0,10.695652173913043,42.0
T02380H,15.15,24.0,13.548387096774194,24.0
T17622F,17.605263157894736,21.0,17.767241379310345,27.0
T13312E,17.653846153846153,24.0,17.073529411764707,39.0
T19890F,12.0,12.0,12.144578313253012,24.0
T04581W,7.846153846153846,18.0,7.193181818181818,18.0
T16921J,17.464285714285715,24.0,16.857142857142858,24.0
T15680H,16.08,24.0,16.47826086956522,27.0
T16225S,9.714285714285714,15.0,7.909090909090909,15.0
T09982D,9.627906976744185,24.0,11.5,27.0
T17856V,17.0,27.0,12.36,27.0
T18357L,21.23076923076923,33.0,19.189655172413794,39.0
T14856J,18.0,27.0,18.174193548387098,33.0
T19542O,29.045454545454547,36.0,23.651162790697676,42.0
T13601K,9.75,12.0,9.705882352941176,15.0
T19861A,16.5,24.0,14.625,24.0
T07314R,11.647058823529411,12.0,12.203389830508474,30.0
T19004T,15.0,42.0,17.666666666666668,42.0
T14398E,23.7,36.0,20.0,36.0
T09618M,22.5,33.0,27.0,39.0
T11145Z,12.0,12.0,12.276923076923078,21.0
T20702H,21.5625,39.0,16.0188679245283,39.0
T20901M,19.25,36.0,14.882352941176471,36.0
T01185C,12.0,12.0,15.857142857142858,30.0
T04545S,12.0,12.0,11.907216494845361,18.0
T19571T,13.941176470588236,30.0,15.9,36.0
T13849G,3.0,3.0,3.6,6.0
T10305T,11.842105263157896,24.0,9.796875,24.0
T17277I,20.666666666666668,45.0,17.333333333333332,45.0
T06107I,10.584905660377359,30.0,10.295454545454545,30.0
T03170D,12.8625,27.0,11.557142857142857,27.0
T16898B,12.0,12.0,12.0,12.0
T06242O,10.032786885245901,30.0,9.415584415584416,30.0
T01439F,17.625,24.0,17.75,27.0
T19065G,11.625,12.0,11.8125,12.0
T18820N,19.285714285714285,39.0,16.607142857142858,39.0
T05216I,12.0,12.0,12.041958041958042,24.0
T01029R,17.275862068965516,30.0,15.493975903614459,30.0
T03285N,13.245283018867925,66.0,13.105263157894736,66.0
T14271Q,21.6,39.0,22.363636363636363,42.0
T11415C,11.9375,12.0,11.962962962962964,12.0
T07184Z,7.5,12.0,7.8,12.0
