TRAM,fid,street_id,street_length_m,daytime_count_150m,nighttime_count_150m,continuous_count_150m,discontinuous_count_150m,transport_related_count_150m,noise_sensitive_count_150m,recreation_green_count_150m,support_infrastructure_count_150m,daytime_count_per_meter_150m,nighttime_count_per_meter_150m,continuous_count_per_meter_150m,discontinuous_count_per_meter_150m,transport_related_count_per_meter_150m,noise_sensitive_count_per_meter_150m,recreation_green_count_per_meter_150m,support_infrastructure_count_per_meter_150m
T06081P,161,T06081P,43.081515093654005,6,0,8,3,5,1,4,2,0.13927086795709773,0.0,0.18569449060946364,0.06963543397854886,0.11605905663091477,0.023211811326182955,0.09284724530473182,0.04642362265236591
T21146F,162,T21146F,60.38132892834895,19,5,27,21,13,5,13,5,0.3146668073925005,0.08280705457697382,0.44715809471565865,0.3477896292232901,0.21529834190013195,0.08280705457697382,0.21529834190013195,0.08280705457697382
T04168N,163,T04168N,475.5728214898735,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T06928L,164,T06928L,154.18857368885244,3,0,3,0,1,2,7,0,0.019456694670863892,0.0,0.019456694670863892,0.0,0.006485564890287964,0.012971129780575928,0.04539895423201575,0.0
T17200N,165,T17200N,37.44946674987937,1,0,1,0,3,2,7,0,0.02670264991164984,0.0,0.02670264991164984,0.0,0.08010794973494952,0.05340529982329968,0.1869185493815489,0.0
T14863I,166,T14863I,77.33932567890282,80,23,84,98,14,3,9,4,1.0344026056309794,0.2973907491189066,1.0861227359125285,1.2671431918979499,0.1810204559854214,0.03879009771116173,0.1163702931334852,0.051720130281548975
T04920V,167,T04920V,84.04175253026457,6,5,11,7,1,1,5,5,0.07139308521486767,0.0594942376790564,0.13088732289392407,0.08329193275067896,0.01189884753581128,0.01189884753581128,0.0594942376790564,0.0594942376790564
T10196G,168,T10196G,148.3360192762244,16,4,20,18,32,2,9,4,0.10786321540829237,0.026965803852073093,0.13482901926036545,0.12134611733432892,0.21572643081658474,0.013482901926036546,0.06067305866716446,0.026965803852073093
T09663R,169,T09663R,53.19729505676373,3,4,15,4,4,1,5,11,0.056393844777236794,0.07519179303631572,0.281969223886184,0.07519179303631572,0.07519179303631572,0.01879794825907893,0.09398974129539465,0.20677743084986824
T05506P,170,T05506P,97.1432008262456,2,2,58,3,2,0,18,56,0.02058816245490288,0.02058816245490288,0.5970567111921835,0.03088224368235432,0.02058816245490288,0.0,0.1852934620941259,0.5764685487372806
T03213X,171,T03213X,86.91863751299088,32,10,35,34,12,2,15,3,0.36816039592449057,0.11505012372640329,0.40267543304241155,0.3911704206697712,0.13806014847168396,0.02301002474528066,0.17257518558960494,0.03451503711792099
