road_id,noise_day,noise_evening,noise_night,road_length,road_category,one_way
30236779_30248252_0,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A),60.45532897328229,residential,0
30236773_30236779_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),58.06164976749109,residential,0
30236773_30236748_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),100.80848478180792,residential,0
30237531_2087204994_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),74.53327703621693,residential,0
30237521_30237520_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),66.37489760583078,living_street,0
30237521_30237520_0,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),66.37489760583078,living_street,0
30237484_557230481_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),79.11856116321584,residential,0
30237483_30237484_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),130.32202671744807,residential,0
30237482_30294184_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),98.53033533050898,residential,0
30237482_30237483_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),121.56803401211906,residential,0
30237481_998567840_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),72.82600051846505,residential,0
30237586_30246820_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),137.18646277333397,residential,0
30237586_30246859_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),133.37851394550995,residential,0
30237542_998615820_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),64.5576287581446,secondary,0
3120231148_30960653_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),175.86229310808122,residential,0
30237540_269383243_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),64.73224171991704,living_street,0
30237540_269383243_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),64.73224171991704,living_street,0
30237540_30237539_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),35.76501671238046,living_street,0
30237540_30237539_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),35.76501671238046,living_street,0
30237539_998615813_0,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),62.502492886991604,living_street,0
30237532_30237533_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),149.92095513811913,residential,0
3120231148_30960653_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),175.86229310808122,residential,0
30237532_30237531_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),76.7029365193155,residential,0
30237532_30237531_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),76.7029365193155,residential,0
30237612_30237613_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),137.5257551997334,secondary,0
3120231147_412452735_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),258.88153211085637,living_street,0
30237607_30246777_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),137.33660293862349,secondary,0
30237607_30237586_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),134.6998618636885,residential,0
30237607_30237586_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),134.6998618636885,residential,0
3120231147_412452735_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),258.88153211085637,living_street,0
3120231147_412452735_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),258.88153211085637,living_street,0
30237588_30248549_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),136.1133598501067,residential,0
30237587_30246777_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),132.1721295617939,residential,0
30237587_30237586_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),133.88263152484515,residential,0
30237587_30237586_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),133.88263152484515,residential,0
30237627_2917908492_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),70.72676015089242,residential,0
30237627_2917908492_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),70.72676015089242,residential,0
30237617_30247432_0,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A),131.52726673411595,secondary,0
30237615_30237616_0,60 - 65 dB(A),55 - 60 dB(A),60 - 65 dB(A),135.11210787859153,secondary,0
30237615_30237635_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),139.11814813315902,secondary,0
30237615_30237635_0,70 - 75 dB(A),65 - 70 dB(A),65 - 70 dB(A),139.11814813315902,secondary,0
30237613_30237614_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),132.17444094939182,secondary,0
30237613_30237633_0,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A),136.88586434393525,tertiary,0
30237612_30247089_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),130.1978814443067,tertiary,0
30237634_30237614_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),138.27459525326,secondary,0
30237633_30237632_0,65 - 70 dB(A),65 - 70 dB(A),65 - 70 dB(A),135.40430898575207,residential,0
30237632_30237612_0,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A),136.42941092527172,tertiary,0
30237632_30685341_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),136.57905199155147,residential,0
30237632_30685341_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),136.57905199155147,residential,0
30237630_30237629_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),35.776567216372904,residential,0
30237630_30237629_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),35.776567216372904,residential,0
30237629_30237628_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),131.51009946627454,residential,0
30237629_30237610_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),133.86668511054762,residential,0
30237640_30237639_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),136.35085172524364,secondary,0
30237640_30237698_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),133.2496526659253,residential,0
3120231147_412452735_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),258.88153211085637,living_street,0
30237638_30237696_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),133.4467061373502,residential,0
30237638_30237696_0,70 - 75 dB(A),65 - 70 dB(A),65 - 70 dB(A),133.4467061373502,residential,0
3120231147_412466900_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),38.4288245378185,residential,0
30237637_30247431_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),300.99859117826315,tertiary,0
3109574426_3109574424_0,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),75.75731645583858,living_street,0
3170270487_1297790802_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),109.84732024875541,residential,0
30237634_30237633_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),134.29286778470473,residential,0
30237677_30237678_0,65 - 70 dB(A),65 - 70 dB(A),55 - 60 dB(A),65.15887872760086,tertiary,0
30237677_30237678_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),65.15887872760086,tertiary,0
30237675_432509869_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),54.567952343079575,tertiary,0
30237675_432467115_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),58.7679084195115,tertiary,0
30237643_30237701_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),133.69186236205593,primary,0
30237642_30237641_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),135.6944964906023,secondary,0
30237642_30237641_0,70 - 75 dB(A),65 - 70 dB(A),65 - 70 dB(A),135.6944964906023,secondary,0
30237642_30243322_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),135.3123147084114,tertiary,0
30237641_30237640_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),131.66220090919333,secondary,0
