fid,street_id,noise_day,noise_evening,noise_night,slope_pct
242,T12613K,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),10.150904456774281
243,T15693M,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A),1.171265206277535
244,T09528L,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.7068485387351926
245,T12832T,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),5.735250959518073
246,T01919Q,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),3.133062079355378
247,T11631I,40 - 45 dB(A),40 - 45 dB(A),< 40 dB(A),12.396935504352955
248,T12708Q,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),5.201285653594602
249,T07803D,55 - 60 dB(A),50 - 55 dB(A),50 - 55 dB(A),2.3710414926754004
250,T05576D,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),5.961130350598148
251,T12041W,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),7.68703157707874
252,T09786B,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),1.3687430463994537
253,T18057C,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),2.694543702661929
254,T01504X,45 - 50 dB(A),45 - 50 dB(A),< 40 dB(A),1.0719150183836506
255,T00474E,45 - 50 dB(A),45 - 50 dB(A),50 - 55 dB(A),1.1424911436864698
256,T09248G,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.3342267611510187
257,T06754H,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.3694900972656577
258,T10174A,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.8563672299465366
259,T02771S,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),1.9670272160934439
260,T12048D,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),6.51917884838249
261,T04539U,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),2.208542528003614
262,T18085G,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.46671870790614767
263,T01204O,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),1.7322840039629737
264,T19522K,50 - 55 dB(A),50 - 55 dB(A),40 - 45 dB(A),1.1089012837308474
265,T21420E,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),0.23585721315142255
266,T09685X,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.5008789494746165
267,T12690X,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),0.15931048900911074
268,T16126Q,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),7.748835127332651
269,T07804E,55 - 60 dB(A),55 - 60 dB(A),55 - 60 dB(A),2.8318033404420064
270,T05955K,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),1.0267386421134068
271,T18024T,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),7.4200457374346
272,T16945R,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),3.2233322991647766
273,T01457H,60 - 65 dB(A),55 - 60 dB(A),< 40 dB(A),1.0945839986693433
274,T18328G,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),0.3778564509447063
275,T06005D,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),0.5567892163438896
276,T17081Y,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),2.9639095828988227
277,T09911O,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),0.494716795216599
278,T15736G,55 - 60 dB(A),55 - 60 dB(A),55 - 60 dB(A),0.06702040743385887
279,T02868A,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A),1.5952913878159856
280,T04934B,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),7.6938456833536755
281,T10394K,55 - 60 dB(A),55 - 60 dB(A),55 - 60 dB(A),5.689422551398479
282,T05481X,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),2.154978174408778
