fid,TRAM,street_tree_count_10m,park_tree_count_10m,street_tree_count_20m,park_tree_count_20m
671,T13007Y,0,0,0,0
672,T07453B,8,0,13,0
673,T16380C,13,0,16,0
674,T04253J,24,0,30,0
675,T09019V,30,0,42,0
676,T03518L,17,0,27,0
677,T04951C,10,0,10,0
678,T06572D,0,0,2,0
679,T02947Y,4,0,5,0
680,T04914X,1,0,6,0
681,RL0009I,0,0,0,0
682,T03533K,14,0,26,0
683,T04281N,13,0,18,10
684,T13136G,9,0,19,0
685,T04936D,1,0,2,0
686,T16738M,0,0,0,0
687,T14242L,73,27,78,64
688,T08531C,7,0,8,0
689,T08519G,7,0,16,0
690,T19254J,3,0,10,0
691,T11341B,1,0,5,0
692,T17597V,13,0,21,0
693,T10588S,16,0,22,0
694,T14431O,6,0,10,0
695,T18213W,10,0,20,0
696,T06302J,16,0,26,0
697,T21460M,0,0,2,0
698,T02568R,22,0,35,0
699,T19220Z,11,0,18,0
700,T00120H,4,0,5,0
701,VA0012L,0,0,0,0
702,T13398A,5,0,10,0
703,T20696A,17,0,31,0
704,T20658U,29,0,49,8
705,T13763B,0,0,0,0
706,RD0010J,0,0,13,0
707,T16007K,0,0,0,0
708,T07491H,12,0,26,0
709,T19894J,15,0,19,0
710,T18059E,3,0,5,0
711,T20178J,0,0,1,2
712,T19789J,47,0,59,18
713,T10778W,15,0,28,0
714,T17350A,3,0,8,0
715,T19818X,30,0,41,0
716,T16740G,5,0,12,0
717,T18970A,0,0,4,0
718,T04187Q,13,0,23,0
719,T11628N,0,0,0,0
720,T10922M,1,0,6,0
721,T05271P,0,0,0,0
722,T01499R,0,0,0,0
723,T18787D,3,0,12,0
724,T19725T,88,0,127,0
725,T05177S,0,0,0,0
726,T17901J,7,0,17,0
727,T20017T,0,0,7,0
728,T21313C,0,0,5,0
729,T21225D,0,0,4,0
730,T20129A,13,0,18,0
731,T00901C,0,0,1,0
732,T08713G,1,0,2,0
733,T01766R,23,0,70,0
734,P21480,0,0,11,0
735,T18385P,13,0,24,0
736,T21157I,8,0,22,0
737,T13913X,9,0,17,0
738,T02544J,17,0,27,0
739,T08090Y,10,0,15,0
740,T10809M,4,0,10,0
741,T10757R,1,0,2,0
742,T13989R,13,0,17,0
743,T02633J,14,0,28,0
744,T02185G,12,0,15,0
745,T21363M,11,0,18,0
746,T20263F,2,0,15,0
747,T03566T,11,0,20,0
748,T08849V,8,0,19,0
749,P70360,1,0,16,0
750,T21354L,0,0,7,0
751,T13011U,0,0,0,0
752,VA0017Q,0,0,9,0
753,T04427N,9,0,14,0
754,T18766Y,1,0,4,0
755,T08385K,11,0,19,0
756,T13841Y,0,0,0,0
757,T12529P,0,0,2,0
758,T05994R,11,0,24,0
759,T08262A,14,0,23,0
760,T03278O,16,0,27,0
761,T14700Q,0,0,14,0
762,T04895L,6,0,19,0
763,T18381L,7,0,11,0
764,T21290M,62,0,69,0
765,P72690,0,0,16,0
766,T11937X,11,0,13,0
767,T00063P,3,0,13,0
768,T06855L,0,0,11,0
769,T16736K,0,0,0,0
770,T21504H,10,0,10,0
771,T14651Y,28,0,49,0
772,T10069A,4,0,9,0
773,T08875X,4,0,8,0
774,T07719I,2,0,4,0
775,T18158G,7,0,11,0
776,T17900I,15,0,22,0
777,T04903U,0,0,0,0
778,T00175W,3,0,6,0
779,T17709L,8,0,13,0
780,T02888E,0,0,2,0
781,T03536N,20,0,31,0
782,T07535C,0,0,0,0
783,T11831O,0,0,0,0
784,T05413L,0,0,0,0
785,T02414A,0,0,25,0
786,T10067Y,6,0,18,0
787,T19885I,7,0,19,0
788,T17334A,0,0,0,0
789,T01918P,24,0,30,0
790,T04548V,28,0,36,0
791,T20531G,1,0,5,0
792,T02055X,3,0,15,0
793,T16318W,0,0,0,0
794,T06166T,21,0,46,0
795,T02550H,9,0,20,0
796,T18041U,0,0,0,0
797,RL0060H,0,0,0,0
798,T01961S,27,0,39,0
799,T05937I,2,0,6,0
800,T03164F,0,0,0,0
801,T06887T,19,0,28,0
802,T19426L,14,0,24,0
803,T01196F,0,0,2,0
804,T15884R,14,0,19,0
805,RD0032F,0,0,0,0
806,T10122O,0,0,2,0
807,T07025L,18,0,28,0
808,T03293N,10,0,15,0
809,T03543M,10,0,18,0
810,T10841M,1,0,2,0
811,P12610,0,0,0,0
812,T11096H,4,0,12,0
813,T11964A,3,0,7,0
814,T16856R,2,0,7,0
815,T08604C,1,0,5,0
816,T03423F,2,0,12,0
817,T18228D,5,0,9,0
818,T09478S,1,0,5,0
819,T09833R,0,0,31,0
820,T04379W,6,0,16,0
821,T05508R,0,0,0,0
822,T19902S,0,0,0,0
823,T07262W,4,0,10,0
824,T00403P,0,0,1,0
825,T00100D,0,0,0,0
826,T03749Y,7,0,16,0
827,T03716P,20,0,28,0
828,T00727G,4,0,11,0
829,T07146T,7,0,9,0
830,T08982Z,11,0,19,0
831,T08699Z,2,0,4,0
832,T10198I,25,0,38,0
833,T13787J,0,0,0,0
834,T12751T,2,0,8,0
835,T03405D,1,0,5,0
836,T02920N,0,0,3,0
837,T11660N,0,0,0,0
838,T20972B,10,0,14,0
839,T08500V,11,0,18,0
840,T18382M,15,0,19,0
841,T03667X,16,0,24,0
842,T12969J,0,0,0,0
843,T02127W,9,0,17,0
844,T02004M,7,0,24,0
845,T07281Z,10,0,24,0
846,T00138R,2,0,14,0
847,T07460A,1,0,14,0
848,T20353G,1,0,3,0
849,T04650S,3,0,5,0
850,T11395P,5,0,15,0
851,T16373D,0,0,0,0
852,T04771A,8,0,14,0
853,T14521P,0,0,46,0
854,T01815J,9,0,17,0
855,T07560D,25,0,32,0
856,T14208J,3,0,16,0
857,T15532W,0,0,0,0
858,T05677H,3,0,7,0
859,T04580V,0,0,0,0
860,T12855A,0,0,0,0
861,T08253Z,21,0,34,0
862,T01932N,19,0,29,0
863,T07047R,33,0,43,0
864,T11693W,11,0,22,0
865,T08497R,1,0,2,0
866,T05625V,13,0,23,0
867,T02503A,22,0,31,0
868,T17785X,2,0,6,0
869,T16103J,9,0,19,0
870,T16730E,0,0,0,0
871,T18260D,15,0,68,0
872,T02810I,6,0,10,0
873,T08291F,26,0,40,0
874,T18222X,0,0,0,0
875,T01225T,15,0,22,0
876,T20948B,11,0,25,0
877,RD0065M,0,0,2,0
878,T04544R,8,0,14,0
879,T00772L,0,0,0,0
880,T07137S,11,0,26,0
881,T00447B,2,0,5,0
882,T02588V,76,0,85,0
883,T01429D,1,0,3,0
884,T19367R,4,0,17,0
885,T05552V,2,0,12,0
886,T05495D,26,0,30,0
887,T01256A,0,0,3,0
888,T19559X,28,0,38,0
889,T19504I,8,0,14,0
890,T12532K,2,0,7,0
891,T20902N,4,0,8,0
892,T03401Z,0,0,3,0
893,T17276H,9,0,21,15
894,T10135T,25,0,38,0
895,RL0001A,0,2,0,14
896,T20304X,12,0,23,0
897,T16038R,0,0,0,0
898,T03597A,0,0,0,0
899,T20912P,14,0,21,0
900,T19589D,4,0,9,0
901,T00662G,9,0,16,0
902,T03274K,5,0,11,0
903,T17386M,0,0,7,0
904,T08435D,0,0,0,0
905,T12694B,0,0,11,0
906,T11196K,0,0,2,0
907,T17727N,66,15,76,68
908,T05770D,2,0,12,0
909,T01000E,2,0,4,0
910,T06668K,1,0,1,0
911,T08265D,10,0,17,0
912,T03241B,25,0,32,0
