street_id,signal_count_50,poi_count_50,tree_count_50,transport_count_50
T19517N,1,1,1,1
T16516A,1,1,1,1
T01022K,1,8,1,1
T03040U,1,1,1,1
T10520Y,1,1,1,1
T04463R,2,1,1,1
T01716H,20,10,15,2
T11284J,5,1,1,2
T16625E,1,8,1,1
T21418K,1,1,1,1
T20001L,5,1,24,1
T01988D,4,10,1,1
T17773T,4,1,1,2
T15954O,2,1,1,1
T03868E,4,1,1,1
T03837X,1,2,1,1
T03563Q,1,1,19,3
T17201O,3,1,1,1
T16893W,1,1,1,1
T06889V,8,4,32,2
T06954N,1,1,1,1
T09656S,4,2,11,1
T18219C,2,1,73,1
T01074W,1,9,1,1
T04503I,2,1,1,1
T21478W,1,7,10,2
T00990T,1,13,1,1
T14615U,1,9,1,2
T18964C,1,1,1,1
T18698D,5,1,1,3
RD0095Q,5,1,1,1
T13489C,9,1,1,1
T06565E,1,1,1,1
T12133Z,6,1,18,1
T21161E,1,1,1,1
T17832N,3,1,92,1
T07231P,1,1,1,1
T17632H,2,13,33,1
T13360M,3,9,1,1
T13074J,4,1,74,2
T06154P,1,1,1,1
T08522B,1,1,1,1
T18602F,1,1,1,1
T12930U,1,1,1,2
T09866A,1,1,1,1
T09007R,1,3,1,1
T03513G,1,3,9,1
T10422X,5,8,1,1
T17530C,1,2,1,1
T08454G,5,2,1,2
T16226T,2,1,10,1
T03504F,1,1,1,2
T03458Q,7,4,38,1
T11492P,1,1,1,1
T08468M,1,1,1,1
T21331E,1,1,1,1
T07500R,1,1,1,1
T07120J,1,1,1,1
T02840O,1,5,42,1
T02245B,10,2,72,2
T07783Q,1,9,1,1
T08080W,6,6,47,3
T02505C,5,22,67,1
T04236I,3,3,11,1
T04547U,1,1,1,1
T01584N,1,7,1,1
T06056O,4,4,1,1
T07373C,4,9,1,1
T10402T,4,1,1,2
T07638I,1,1,1,1
T11237C,1,1,1,1
T04715S,8,2,1,4
RD0035I,2,2,13,5
T05364T,1,2,1,1
T05239P,1,1,1,1
T04732T,4,3,1,3
T10805I,3,4,1,1
T14420L,1,2,1,1
T13303D,1,10,1,1
T06014E,1,1,1,1
T02593S,4,7,79,4
T18095I,3,1,3,1
T21341G,3,2,11,1
T06655F,1,1,1,1
T09995I,4,3,87,1
T11274H,1,1,1,1
T15386E,3,1,13,3
T00687P,1,2,33,1
T12673W,1,1,1,1
T11582Q,1,1,8,1
T11954Y,1,1,1,1
T08404W,1,2,1,1
T07829N,1,5,13,1
T05541S,1,1,45,8
T21082G,5,1,9,1
T08760N,1,2,1,1
T12935Z,1,1,1,1
T12987L,1,1,1,2
T05734Z,6,1,58,2
T21531K,11,1,1,4
T21513I,1,1,1,2
T07860M,1,12,1,1
T08057X,4,2,1,1
RL0021U,1,1,1,1
T01740H,2,10,63,1
T02209X,5,9,82,1
T07238W,1,8,1,1
T07921I,2,8,1,1
T10672N,3,1,1,1
T03181G,3,4,1,3
T09243B,5,1,1,1
T21283N,1,1,1,1
T17618J,1,1,41,1
T16637I,1,7,1,1
T19104W,1,1,1,1
T07351W,5,6,1,1
T17627K,2,1,1,1
T02090A,4,7,18,2
T21304B,1,1,1,1
T07165W,1,1,1,1
T05189W,1,1,1,1
T02825P,1,3,25,1
T03476S,2,5,34,2
T05909E,1,1,8,1
T14653A,1,1,1,1
T19798K,1,1,11,1
T16913J,1,1,1,1
T12371L,1,3,1,1
T09595W,1,1,23,1
T15382A,4,1,32,1
RD0099U,5,1,1,2
T15301J,4,1,1,1
T17598W,4,1,26,1
T09249H,4,1,4,1
T08239B,6,2,9,1
T14523R,1,6,1,1
T03356L,3,5,1,1
T05139M,1,1,1,1
T02564N,2,7,1,3
T02786Z,3,5,1,1
T14840B,1,1,1,1
T18807Q,1,1,1,1
T06150L,4,1,1,1
T00402O,1,4,1,1
T14663C,5,5,40,2
T06291X,1,1,1,1
T01808K,1,11,1,1
T00102F,1,5,1,1
T08438G,1,1,1,1
T19212Z,3,1,1,1
T09984F,1,5,6,1
T19536Q,1,1,1,1
T11891A,1,1,1,1
T21061B,1,8,1,1
T06939O,1,1,1,1
T03679B,9,1,1,1
T17216V,1,7,1,1
T21329K,1,1,1,1
T05777K,7,1,110,2
T12929B,1,1,1,2
T11782W,1,1,1,1
T10589T,1,1,1,5
T17114Q,2,5,98,1
T11041S,1,1,1,1
T08027R,1,8,37,1
T11646P,1,1,1,3
T19082H,1,1,1,1
RD0014N,2,2,2,1
T18827U,4,12,1,1
T06103E,1,2,1,1
T08769W,4,9,1,1
T19587B,1,1,1,1
T00038O,1,8,9,1
T18453K,1,1,5,1
T03066E,1,1,9,1
T03416G,1,10,1,1
T20917U,1,1,1,1
T02396P,9,14,17,2
T07757O,1,20,1,1
T20780V,1,3,1,3
T21307E,1,1,1,1
T08544H,1,1,1,1
T02164B,11,6,86,2
T13371P,1,1,1,1
T09754T,1,1,1,1
T11731L,1,1,1,1
T06069T,1,3,1,2
T20995I,1,1,1,1
T12990G,1,1,1,2
T10605C,1,1,1,1
T17751N,1,3,2,1
T16881S,3,2,23,1
T03180F,2,3,1,2
T00225P,1,9,1,1
T13883I,1,1,1,1
T16189F,1,1,4,1
P13230,1,15,1,1
T15899Y,5,1,1,2
T11872X,1,1,1,2
T09756V,1,1,1,1
T20773W,1,3,3,1
T00366B,1,5,1,1
T16714E,1,1,1,1
RD0126V,9,1,1,1
T02125U,8,10,6,1
T21317G,1,1,1,1
T17434D,1,1,1,3
T21144D,1,6,1,1
T03674W,1,7,1,1
T04221B,3,4,1,1
T17966A,1,1,1,1
T14025E,1,1,1,1
T12179N,1,3,5,1
T07118P,1,1,1,2
T01806I,6,18,5,1
T20144Z,1,1,1,1
T12033W,1,1,1,1
T00250Q,1,12,1,1
T15698R,1,21,1,1
T12411C,7,1,28,1
T17261A,1,1,1,1
T13110W,8,1,4,1
T08773S,4,6,1,4
T10824L,1,3,1,1
T12422F,1,1,9,1
T01468K,1,12,1,1
T11015Q,1,1,1,1
T20476Q,3,2,1,1
T12646T,1,1,1,1
T17577R,4,5,21,1
T05883L,1,6,3,1
T08812I,1,3,77,1
T17774U,7,2,54,1
T15998A,6,4,1,2
T01215R,1,7,1,1
T17965Z,1,1,1,1
T10996E,1,1,1,1
T07855P,1,8,18,1
T14073M,3,1,1,1
T11896F,5,8,46,2
T09681T,7,1,1,2
T21137E,8,3,1,1
T15216N,1,1,1,1
T03477T,1,1,1,1
T15920E,1,4,1,1
T20501A,3,2,1,2
T06742D,1,1,1,1
T17745P,5,3,1,1
T16503V,9,3,43,2
T08292G,1,1,1,1
T07721C,2,7,1,1
T10787X,10,1,6,7
T02631H,5,6,1,4
T04363O,3,4,1,2
T00216O,1,9,1,1
T06027J,1,1,1,1
T09221V,1,5,1,1
T01420U,1,17,1,1
T19398Y,4,2,1,1
T13007Y,1,1,1,3
T07453B,1,2,1,1
T16380C,7,2,30,1
T04253J,4,5,7,3
T09019V,3,13,1,1
T03518L,1,1,1,1
T04951C,5,2,1,3
T06572D,1,1,1,1
T02947Y,3,2,36,1
T04914X,1,1,1,2
RL0009I,1,1,1,1
T03533K,1,3,1,1
T04281N,6,1,1,1
T13136G,5,1,11,2
T04936D,1,1,1,1
T16738M,1,1,1,1
T14242L,1,1,21,3
T08531C,1,2,1,1
T08519G,1,1,1,1
T19254J,1,2,1,1
T11341B,2,13,1,1
T17597V,6,1,29,1
T10588S,1,1,1,1
T14431O,1,3,1,1
T18213W,4,4,82,3
T06302J,1,1,1,1
T21460M,3,1,1,1
T02568R,5,12,1,1
T19220Z,1,2,1,1
T00120H,1,4,1,1
VA0012L,1,1,1,1
T13398A,1,5,53,1
T20696A,1,21,2,1
T20658U,1,1,1,1
T13763B,1,1,1,1
RD0010J,2,1,1,1
T16007K,1,1,1,2
T07491H,1,6,1,1
T19894J,2,5,5,1
T18059E,1,1,1,2
T20178J,5,1,29,1
T19789J,1,2,2,1
T10778W,1,2,1,1
T17350A,4,2,1,1
T19818X,8,1,62,1
T16740G,1,1,1,1
T18970A,1,1,1,1
T04187Q,6,2,47,3
T11628N,1,1,1,1
T10922M,5,3,1,2
T05271P,1,1,1,1
T01499R,1,10,7,1
T18787D,3,2,23,1
T19725T,16,3,143,3
T05177S,1,1,1,1
T17901J,1,7,10,7
T20017T,1,1,1,1
T21313C,1,1,1,1
T21225D,1,8,1,1
T20129A,1,1,1,1
T00901C,1,12,1,1
T08713G,1,1,1,2
T01766R,6,12,1,2
P21480,1,3,1,2
T18385P,1,2,1,1
T21157I,7,2,19,1
T13913X,1,4,1,1
T02544J,7,7,17,1
T08090Y,1,11,14,2
T10809M,1,2,7,1
T10757R,1,1,1,1
T13989R,1,2,1,3
T02633J,2,5,1,1
T02185G,4,17,2,7
T21363M,1,1,1,1
T20263F,3,2,63,1
T03566T,1,1,17,1
T08849V,2,2,50,3
P70360,1,6,19,4
T21354L,7,1,46,1
T13011U,1,1,1,3
VA0017Q,7,2,1,2
T04427N,1,1,1,1
T18766Y,1,6,5,1
T08385K,1,1,1,1
T13841Y,1,1,1,4
T12529P,1,1,1,1
T05994R,1,5,1,1
T08262A,3,2,1,1
T03278O,3,6,17,3
T14700Q,7,1,1,2
T04895L,1,1,1,2
T18381L,1,18,10,1
T21290M,4,2,1,1
P72690,1,3,48,1
T11937X,1,1,20,1
T00063P,1,9,7,1
T06855L,1,1,1,2
T16736K,1,1,1,1
T21504H,1,1,1,1
T14651Y,1,1,1,1
T10069A,1,1,1,1
T08875X,1,1,1,1
T07719I,1,6,1,1
T18158G,8,1,64,4
T17900I,1,9,41,1
T04903U,3,2,1,2
T00175W,1,8,1,1
T17709L,1,1,91,1
T02888E,3,2,67,1
T03536N,1,3,1,1
T07535C,1,1,1,1
T11831O,1,1,1,1
T05413L,1,1,1,1
T02414A,15,12,38,1
T10067Y,5,1,1,1
T19885I,3,2,1,2
T17334A,1,2,7,1
T01918P,4,24,1,1
T04548V,3,1,1,3
T20531G,8,2,1,1
T02055X,6,6,57,1
T16318W,1,1,1,2
T06166T,7,1,1,3
T02550H,5,9,11,1
T18041U,1,1,1,1
RL0060H,1,1,1,1
T01961S,6,16,1,1
T05937I,1,1,1,1
T03164F,1,1,1,1
T06887T,7,4,1,2
T19426L,1,1,13,1
T01196F,2,3,10,1
T15884R,1,1,1,1
RD0032F,1,1,1,1
T10122O,2,5,18,4
T07025L,1,1,1,1
T03293N,6,10,39,4
T03543M,1,1,1,1
T10841M,1,1,1,2
P12610,1,3,1,1
T11096H,1,3,1,1
T11964A,1,3,1,1
T16856R,1,3,1,2
T08604C,1,1,1,3
T03423F,1,7,1,1
T18228D,1,3,22,1
T09478S,1,1,1,1
T09833R,4,1,1,4
T04379W,1,3,10,3
T05508R,1,1,1,1
T19902S,1,1,8,4
T07262W,1,6,1,1
T00403P,1,4,1,1
T00100D,1,5,1,1
T03749Y,1,1,1,1
T03716P,8,2,55,1
T00727G,1,12,1,1
T07146T,1,1,1,1
T08982Z,4,12,1,1
T08699Z,1,1,1,1
T10198I,10,5,90,1
T13787J,1,1,1,1
T12751T,3,1,1,1
T03405D,1,3,1,1
T02920N,1,1,13,1
T11660N,1,1,1,1
T20972B,1,1,1,1
T08500V,1,2,1,1
T18382M,1,18,10,1
T03667X,5,24,11,2
T12969J,1,1,1,1
T02127W,4,1,1,1
T02004M,3,6,4,1
T07281Z,6,4,1,1
T00138R,1,3,8,1
T07460A,1,5,1,1
T20353G,1,2,1,1
T04650S,1,1,1,1
T11395P,4,5,27,1
T16373D,2,1,112,4
T04771A,1,1,1,1
T14521P,1,1,1,1
T01815J,1,12,33,1
T07560D,1,1,1,2
T14208J,4,1,1,1
T15532W,1,1,1,1
T05677H,1,1,1,2
T04580V,1,1,1,1
T12855A,1,1,1,1
T08253Z,3,6,2,1
T01932N,3,19,22,1
T07047R,2,1,1,1
T11693W,6,3,1,3
T08497R,1,4,1,1
T05625V,1,1,1,1
T02503A,4,12,1,1
T17785X,1,1,1,1
T16103J,1,1,1,1
T16730E,1,1,1,1
T18260D,2,1,103,1
T02810I,1,3,1,1
T08291F,1,4,5,1
T18222X,1,1,17,1
T01225T,1,7,1,1
T20948B,1,1,1,1
RD0065M,6,1,36,1
T04544R,7,3,1,5
T00772L,1,7,1,1
T07137S,1,6,1,1
T00447B,1,16,1,1
T02588V,5,13,125,1
T01429D,1,7,5,1
T19367R,3,2,23,1
T05552V,2,2,30,1
T05495D,1,1,1,1
T01256A,1,4,2,1
T19559X,2,1,15,1
T19504I,1,3,1,1
T12532K,1,1,1,1
T20902N,1,1,1,1
T03401Z,1,1,1,1
T17276H,2,1,2,1
T10135T,5,1,103,1
RL0001A,3,1,2,1
T20304X,3,3,68,1
T16038R,1,1,1,4
T03597A,1,1,1,1
T20912P,1,1,1,1
T19589D,1,1,1,1
T00662G,1,10,2,1
T03274K,4,4,5,3
T17386M,1,6,1,1
T08435D,2,3,1,1
T12694B,1,1,1,1
T11196K,1,1,1,1
T17727N,3,1,36,1
T05770D,1,7,1,1
T01000E,1,2,7,1
T06668K,1,1,1,1
T08265D,3,4,1,1
T03241B,1,8,1,1
T04735W,2,1,6,1
T16816J,1,1,1,1
T15577J,1,1,1,1
T09816Q,1,1,1,1
