road_id,width,openness,height,betweenness,closeness_global,closeness400,straightness
10185494295_211321896_0,46.425696156388994,0.7878787878787878,0.0,0.011633523315347144,0.0005076767546650813,0.0002260697475891243,0.8398595784526223
211321896_211321900_0,42.63100541869349,0.8333333333333334,0.0,0.012601833579435943,0.0005367983205982414,0.0002508675229022793,0.8841994982038621
728705258_728705264_0,50.0,1.0,0.0,0.006564269581257562,0.0004892865538805897,0.0001652975328510524,0.7874063777888965
728705258_10207349882_0,45.98669093623566,0.8076923076923077,0.0,0.011743924485599548,0.0004874986355015567,0.0001952000484564599,0.793331436057662
4558538598_211321256_0,50.0,1.0,0.0,0.02046561693553952,0.0005427666290867927,0.00025222325655560216,0.8905768981885659
10185494294_10185494295_0,50.0,1.0,0.0,0.002001021210824835,0.0004786024007063943,0.00020988957690705001,0.8090175354452915
10185494295_10207349882_0,50.0,1.0,0.0,0.009989005883462366,0.0004784186507736991,0.0002006214680191288,0.7957490036191381
211321900_2187119246_0,50.0,1.0,0.0,0.018952200893329472,0.0005386437282023648,0.0002552277260573819,0.883761965994283
211321900_1109639608_0,50.0,1.0,0.0,0.02771989383087461,0.0005404414606135275,0.0002549080086426075,0.8911519655080338
2187119246_10093451978_0,26.084742362976414,0.36363636363636365,0.0,0.01026270878471312,0.0005378375683403687,0.00025208974348053294,0.869617815539852
11382809938_2187119246_0,34.163867058247234,0.625,0.0,0.008434189402407666,0.0005202356667467615,0.00023735536288311784,0.8454825328134663
1109639597_1109639608_0,27.654751107889226,0.42857142857142855,0.0,0.000400204242164967,0.000540858511750087,0.0002510150197239093,0.8762250525059645
1109639608_4558538598_0,50.0,1.0,0.0,0.029635814139629884,0.0005422423473211146,0.0002538341893579619,0.8919618604156521
214922958_214922960_0,50.0,1.0,0.0,0.0021045223079364643,0.00026359860890839753,2.084947559887647e-05,0.48594369560866113
214922960_214922958_0,50.0,1.0,0.0,0.0021045223079364643,0.00026359860890839753,2.084947559887647e-05,0.48594369560866113
214922960_214922962_0,50.0,1.0,0.0,0.004204444567112412,0.00029909354329633414,0.00010008838180982666,0.9605925390847705
214922962_214922960_0,50.0,1.0,0.0,0.004204444567112412,0.00029909354329633414,0.00010008838180982666,0.9605925390847705
214922962_214923388_0,50.0,1.0,0.0,0.00024840263306791054,0.0003106104242695574,0.0001728086978451405,0.92178509280099
214923395_214922962_0,50.0,1.0,0.0,0.006051364144459932,0.00031200709649642326,0.00017302184958189885,0.91951479310025
214923388_214924707_0,50.0,1.0,0.0,0.0024840263306791055,0.00031024522293987366,0.00018610903355413365,0.8947117797369991
214923395_214923388_0,50.0,1.0,0.0,0.004156144055126985,0.00031226855732185586,0.00018735273500513895,0.8920021989490211
214924707_5772382726_0,50.0,1.0,0.0,0.0005152054611778885,0.00030819059775407623,0.0001633341909257975,0.9159152201341414
214924707_214924708_0,50.0,1.0,0.0,5.290056074594391e-05,0.0003097244624634593,0.0001832543174763,0.8941169233713483
214923391_214925654_0,50.0,1.0,0.0,0.00041400438844651756,0.00031011778973383854,0.00016142450753615825,0.9211760002444302
214923391_214924711_0,50.0,1.0,0.0,0.06804622128994568,0.00031178474761457236,0.00018136307041375667,0.8975588151716738
214924708_214923391_0,50.0,1.0,0.0,0.06653050522335538,0.0003101214313545858,0.0001811576660613815,0.8937151419875223
214925654_4549490595_0,43.11505692134534,0.9603960396039604,0.0,0.008390488939182756,0.0002763007712297467,0.00011579558417016756,0.9739950095554779
4549490595_214925654_0,43.11451979118735,0.9603960396039604,0.0,0.008390488939182756,0.0002763007712297467,0.00011579558417016756,0.9739950095554779
214925654_214924711_0,50.0,1.0,0.0,0.010062606663630635,0.0003114900387814006,0.00016190239693986518,0.924387317359519
