street_id,road_category,signal_count_50m,poi_count_50m,tree_count_50m,transport_count_50m,signal_count_100m,poi_count_100m,tree_count_100m,transport_count_100m,noise_day,noise_evening,noise_night
3457,trunk,3,1,1,1,8,3,1,1,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3458,residential,2,1,43,1,7,3,90,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3459,tertiary,6,2,1,1,8,3,1,3,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3460,tertiary,2,2,1,1,2,2,4,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3461,residential,2,7,1,1,5,21,3,3,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3462,residential,1,1,1,1,1,1,1,2,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
3463,residential,1,1,1,1,1,1,1,1,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A)
3464,living_street,1,3,1,1,1,8,1,1,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
3465,secondary,5,1,36,1,9,2,84,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3466,living_street,1,1,1,1,3,1,1,1,45 - 50 dB(A),45 - 50 dB(A),< 40 dB(A)
3467,living_street,1,2,7,1,1,6,15,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3468,residential,1,1,1,1,3,1,1,2,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3469,pedestrian,1,11,2,1,1,42,5,1,45 - 50 dB(A),45 - 50 dB(A),< 40 dB(A)
3470,residential,1,1,1,1,2,1,1,4,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
3471,residential,1,8,1,1,1,34,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3472,tertiary,4,1,1,1,12,6,17,2,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3473,residential,1,1,1,1,1,1,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3474,residential,1,1,33,1,3,5,102,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3475,residential,2,1,1,1,5,1,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3476,residential,1,3,4,1,1,4,37,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3477,residential,1,3,1,1,1,4,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3478,tertiary,5,1,12,1,8,1,37,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3479,residential,1,1,3,1,1,1,4,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3480,residential,1,1,1,1,1,1,1,1,< 40 dB(A),< 40 dB(A),< 40 dB(A)
3481,residential,1,1,1,1,1,1,1,2,45 - 50 dB(A),40 - 45 dB(A),< 40 dB(A)
3482,tertiary,6,7,6,1,10,22,39,1,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
3483,residential,1,2,8,1,1,3,19,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3484,residential,1,1,1,1,6,7,1,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3485,living_street,1,16,6,1,10,30,15,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3486,living_street,1,1,1,1,1,5,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3487,residential,1,2,2,1,1,15,55,3,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3488,living_street,1,4,1,1,4,11,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3489,tertiary,1,1,1,1,4,3,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3490,residential,1,1,84,1,2,4,140,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3491,residential,1,1,1,1,1,1,4,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3492,residential,1,3,11,1,1,14,11,1,60 - 65 dB(A),55 - 60 dB(A),55 - 60 dB(A)
3493,living_street,5,5,1,1,5,25,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3494,residential,1,1,2,1,1,4,2,3,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3495,secondary,8,14,1,1,8,22,1,2,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
3496,living_street,5,7,79,1,12,12,197,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3497,residential,1,19,1,1,1,73,1,1,55 - 60 dB(A),55 - 60 dB(A),55 - 60 dB(A)
3498,residential,1,1,1,1,1,1,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3499,pedestrian,1,11,1,1,1,22,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3500,residential,1,3,1,1,6,7,1,3,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3501,residential,1,1,1,1,1,1,1,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3502,tertiary,12,1,71,1,12,1,180,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3503,secondary,3,6,5,3,6,26,5,5,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
3504,residential,4,4,1,1,4,8,1,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3505,residential,1,4,1,1,2,11,1,4,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
