road_id,noise_day,noise_evening,noise_night,road_length,road_category,dist_to_main,signals,transport,pois,width,height,betw_centrality,clos_centrality,green_100
30294477_30294478_0,55,50,45,78.72992323288317,6,10.31923692507771,3.8098739974003215,3.8098739974003215,15.23949598960129,7.36642022068396,4.846153846153846,8.976645801700118e-05,0.0001963376600846,0.0
1748629933_668486347_0,55,55,45,125.36037943132972,3,0.0,5.586218470635647,2.39409363027242,2.39409363027242,36.7147538610774,27.27272727272728,0.001385126084701,0.0001663400318388,3.655059666943579
30297911_209095788_0,45,40,35,32.62705643116877,5,77.28947943056512,3.0665997653626738,15.332998826813368,50.0,3.6137081931477457,8.0,0.0002241147467503,0.0001783837016914,6.048412123715163
416012211_1375540269_0,55,55,50,76.14626475670788,5,95.9043393217993,1.3162009472438263,2.632401894487653,1.3162009472438263,19.634275426964063,12.214285714285714,0.0005955127922728,0.000198604527924,0.1408846229433153
30554037_30554503_0,55,55,50,33.91860062344698,5,269.1908177114524,2.9493929699424126,5.898785939884825,50.0,9.983171351528767,6.666666666666667,0.0117324308530782,0.0002407130892547,0.0
9447318562_556431154_0,50,45,45,44.79757785671755,4,380.6585868222126,2.235773771239552,4.471547542479104,2.235773771239552,50.0,0.0,0.0037434170217599,9.42507735097159e-05,10.606132946959
30313439_30313438_0,55,55,50,16.573855136617905,5,304.9099086527594,6.041198524937717,18.12359557481315,6.041198524937717,11.851189983930864,10.5,0.0085862345472467,0.0001889936153691,0.0
126656743_690829809_0,55,55,50,76.23187704613228,6,207.6653162406485,1.312896596119267,7.877379576715603,6.564482980596336,8.162758311090247,5.2,0.0033574765086403,0.000238648151422,0.0
1350466857_416116590_0,35,35,35,281.1976460890908,5,50.28367173646874,0.3554028372552459,1.0662085117657378,0.3554028372552459,26.135945501806,5.538461538461538,1.2055931686670555e-06,0.0001074293929944,13.793079034781456
30243888_30243889_0,60,55,50,131.83051142235706,4,132.52301813232037,3.793910161484494,4.552692193781393,6.070256258375191,23.55852058161889,11.785714285714286,0.0033862349290179,0.000191237875762,0.0
980160376_3055187868_0,60,60,55,224.88078171407847,4,0.0,3.557954126667365,2.223721329167103,0.8894885316668414,35.74749178582786,3.0,0.0040882669010473,0.0001968768384312,15.159057116882844
