road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,signals,transport,pois,width,betweenness,closeness_global,closeness_400,straightness
126798008_30243125_0,3,3,2,3,1728.2475277651383,502.29767466565255,0.0,0.0,0.0,0.1252373648602623,0.0521822353584426,0.0417457882867541,31.24514422599695,0.0005709990645099,0.0002125450402374,1.9185526148359886e-05,0.854598539642534
359241321_358505152_0,3,3,2,5,533.2851908198361,746.0911502233889,565.3005455068318,0.0,0.0,0.0,0.0,0.0,25.427635223466147,0.0001479614449295,0.0001739521266658,1.5520380806718766e-05,0.852157986010967
1046607396_1046613006_0,4,3,3,4,1241.7762424660905,472.5323612911977,978.3504630144844,0.0,0.0,0.1673073764890381,0.0535129983168081,0.0384107377029697,23.67767414340944,0.0139764918374058,0.0001993933476353,2.295348429307913e-05,0.8172117275928859
1496385009_1496385013_0,2,2,2,5,1756.7226604802306,455.6907490482148,30.60220114883024,68.34627145979283,0.0,0.0310343405410577,0.0310343405410577,0.0,31.42723584724027,0.0002241147467503,0.0002204851892633,1.3674998155376192e-05,0.8224015893000529
544223032_30253395_0,3,2,2,5,1225.0574942405326,1703.8492052459926,378.92327768233497,0.0,0.0,0.0148921542290694,0.0,0.0,23.56124356990501,0.0028839797916463,0.000169195068619,9.584290588646665e-06,0.8480342156681837
359236301_359238153_0,2,2,1,5,345.0272855772864,646.6175527784516,1320.74041148878,118.07108688709128,0.0,0.0,0.0,0.0,24.409174008046666,0.0051806850110058,0.0001679722046834,1.1748557353663398e-05,0.8537866972162169
364669785_980160381_0,3,3,2,4,1745.7325234783982,1293.2714183090395,0.0,0.0,60.18592084229551,0.0968877739637185,0.0363329152363944,0.0,42.312779299433736,0.0066134069093448,0.0002010604828562,1.2521061269460025e-05,0.837539588459143
6039142040_10221732552_0,2,2,2,5,1334.5002499615198,712.5337026862196,100.15622139646328,62.4687107353807,0.0,0.0,0.0,0.0,5.941187641047455,0.0002241147467503,0.0001672691352794,1.950739462901717e-05,0.8288631421615983
681936233_700938022_0,3,3,3,4,1905.8797589363253,1225.127390893838,31.89001150802106,0.0,40.299381357509326,0.1017346978226626,0.0145335282603803,0.0581341130415215,20.20806539460672,0.0028872198232871,0.0001660946579309,1.7011385457512212e-05,0.8667808762580966
30617577_432467110_0,2,2,1,6,1236.5460267169542,306.4647307025237,376.5694977526706,63.0931274736176,0.0,0.0,0.0,0.0,8.069081572315717,6.974858811225861e-05,0.0002136483583919,2.204664690059937e-05,0.8360168426378771
82040267_415955417_0,3,2,2,5,2590.511255020778,0.0,369.5767601364397,386.4185278529091,0.0,0.0498990099558397,0.0166330033186132,0.0166330033186132,11.345605496910585,0.0009249662421354,0.0002344426791204,2.435590655996729e-05,0.8156772483124168
30243117_30243116_0,1,1,0,5,2868.516680944362,402.3822482298118,0.0,117.9501469565246,0.0,0.0377057719287602,0.0,0.0829526982432725,23.852597664267847,0.0025257679214061,0.0002371434311755,1.4535184035526702e-05,0.835360246877653
1599255986_1599256238_0,2,2,1,5,559.7468214361165,1818.983250798504,2308.927457664499,246.8249529074324,0.0,0.0,0.0,0.0,21.09924660749983,0.0002241147467503,0.0001050248611015,4.410305997967099e-07,0.7674093196042666
1621899821_1621899834_0,3,3,3,5,620.2061684631096,1214.116341150651,406.89778695893017,139.35912886478303,0.0,0.0334852650317984,0.0066970530063596,0.0,28.197413586286384,0.0001840287738921,0.0001880018017398,8.091319233755215e-06,0.8446398008961606
426624022_426624021_0,2,2,1,5,1425.5989007897012,1639.2657494233954,58.84861872137554,124.26630290618763,0.0,0.0,0.0,0.0,24.54776205084981,0.0009189382762921,0.0001898850380567,4.795937182617814e-06,0.7730733083786889
1092685726_2022888132_0,2,2,2,6,722.062739846765,1128.1168885310592,43.04329786001422,199.1085576500492,0.0,0.1673073764890381,0.0535129983168081,0.4273687468542714,50.0,0.0018004278147825,0.0001782526715662,1.407938497902332e-05,0.8224464392206179
1599256242_1297790802_0,2,2,2,4,314.2348917471911,1591.3669713160211,2107.483266563076,0.0,0.0,0.0,0.0532916209441833,0.0,30.283069903000644,3.734827170433149e-05,0.0001176778983507,1.4302864393728673e-05,0.8320503508599861
126803361_250793733_0,4,3,3,4,2357.162846562365,101.3750381478037,266.82152791728527,0.0,0.0,0.0521981355333782,0.0149137530095366,0.0820256415524516,45.98661118413408,0.0049654866303987,0.0002294154521983,1.6700888352522016e-05,0.8496150074417077
257048076_257048068_0,2,2,2,6,854.2649359304825,91.87612936344632,1015.2376452899208,177.237038746631,24.05996547009564,0.0,0.0,0.0,8.636458377199023,0.0049836458775017,0.0001932340102397,2.7222455178591804e-05,0.8188818717856046
4922624387_5313720234_0,3,3,3,2,2593.273449449513,0.0,0.0,135.4695502383327,0.0,0.027319139295786,0.027319139295786,0.013659569647893,42.60092252701577,0.0300401417315422,0.0002145281718185,2.158983117729059e-05,0.8609501541024351
6218586069_1314467682_0,3,3,3,4,808.9022029812007,610.7253679071874,594.8419958864895,0.0,9.998095812097704,0.1673073764890381,0.0535129983168081,0.0,50.0,0.0017656163120372,0.0001552204297512,4.2494669683701305e-05,0.8446939221433707
30295480_30295477_0,3,3,3,6,1845.515736270404,561.1971431480803,19.61377373454532,80.82031762711509,82.39261348172569,0.0,0.0,0.0,5.9220097571748544,0.0005701451026821,0.000181174444408,2.556647592862848e-05,0.844150368410411
3994383012_420553134_0,2,2,1,5,379.1934725444376,1268.1938628364303,1159.0573180991962,317.11686457553094,0.0,0.0,0.0,0.0,30.17114314344945,0.0,0.0001547718516653,1.2944991677866274e-05,0.8502469439690061
5286242897_13607758976_0,2,2,2,5,2552.907122348542,941.5713827132116,139.1554587614869,0.0,0.0,0.0224008049414434,0.0074669349804811,0.0,25.283763040102414,0.0039393761447169,0.0001758683371018,1.5376088771079737e-05,0.825500169551908
1225083268_1225083265_0,1,1,0,6,1765.6086156602173,247.73311080268965,138.2500516039206,383.2887582106108,0.0,0.0,0.0,0.0,21.948063657934203,0.0002241147467503,0.0002172586703232,5.682597246762545e-06,0.8086823974094068
30295627_30295719_0,2,2,1,6,1384.542711830684,228.1391738432673,539.8838430469834,316.57291968328684,0.0,0.0,0.0,0.0,10.1779521840672,0.0031773910290707,0.0001740764538437,3.648064040057697e-05,0.8310833161943438
30556738_30254466_0,3,3,2,6,2763.45778834906,397.1044032474667,373.5525921500855,110.78254280183712,0.0,0.0199283471489891,0.0099641735744945,0.0298925207234837,6.737705028367114,0.0047331838967112,0.0002375925158512,2.3082184585341688e-05,0.8238130802106344
30617833_3822804384_0,4,3,3,3,1097.8637880634,584.9378800635599,0.0,20.11325696946409,0.0,0.0761089981065892,0.0152217996213178,0.0152217996213178,36.238934978254406,0.0250120396059458,0.0001816241226936,1.911663819336093e-05,0.8311634145318396
11258759944_3880549731_0,3,2,2,5,278.4372572211947,1921.7238064296907,8.385083369023421,164.54152823121277,0.0,0.0379290658989788,0.0126430219663262,0.0063215109831631,37.444987950930845,2.9888663973204087e-06,0.0001671730186549,2.5208757570245115e-05,0.8438227213729542
30313141_30313142_0,3,3,2,4,1974.3640565295532,515.8131548068246,251.473290298884,0.0,0.0,0.0711455607620533,0.0142291121524106,0.0,19.835481730361067,0.0047887918816159,0.0002251270170256,1.9338148285513124e-05,0.8441594294127908
10858526500_544222987_0,4,3,3,4,1400.5508385037062,822.8876812740485,149.31443554266147,0.0,0.0,0.1355422360690368,0.0,0.0,41.45889102882701,0.0207204042072589,0.0001967549579977,1.7518724323445465e-05,0.8635014874680833
1938230338_689442430_0,2,1,1,5,2398.218288432486,1015.6678397640584,228.3890614605327,43.16864665374163,0.0,0.0217697274483868,0.0,0.0,36.94554473634737,9.29311400847522e-06,0.0001768261620805,1.7942855130629954e-05,0.8280357012787131
1315972380_390057406_0,3,3,2,5,240.48057107534723,41.70774089394122,1238.4823845719277,77.62625880276595,0.0,0.016729351649436,0.0,0.0,35.61788304722012,0.0012171467698667,0.0001547593494227,1.0998058219125268e-05,0.8683080364890842
3129196084_3129196088_0,0,0,0,6,2883.146932188262,382.349703968244,31.84217021144687,56.37723471791322,0.0,0.0426320838139263,0.0255792502883557,0.034105667051141,3.716710614196266,0.0002241147467503,0.0002145230687323,1.55517057066904e-05,0.831342605244501
30295259_1695059619_0,4,3,3,5,2937.6510941093543,123.72272744578444,0.0,281.6896627688267,0.0,0.0697909634396182,0.0,0.0232636544798727,7.0263174737423295,0.0006853545998628,0.0002351614359503,1.9374116323656143e-05,0.8258855464233696
30313434_359234349_0,3,3,2,4,618.5457000457601,436.7522567281782,814.4140884882322,0.0,0.0,0.0260934002027162,0.0130467001013581,0.0,32.0115066808745,0.0001193286071736,0.0001848327637242,1.8624660009545365e-05,0.8508539257488896
583319840_1817382293_0,3,3,2,5,3516.635828234644,4117.356454913816,93.99491876765074,362.2932219534257,0.0,0.0,0.0142971888446342,0.0035742972111585,25.624157626868215,0.0,8.023181682355004e-05,5.385080380203409e-06,0.5644940302877803
242318729_21638869_0,2,2,2,4,1520.6244572919102,2149.23188354908,512.3337888569722,0.0,0.0,0.0,0.0535129983168081,0.3992935803315935,17.91384717973875,0.0010108647554029,0.0001662833486214,4.848249337016013e-05,0.8296373322113963
347340794_243342788_0,2,2,2,5,215.2380276067553,2119.378014671303,145.5047064863015,0.0,0.0,0.0458225414979253,0.0229112707489626,0.0229112707489626,50.0,0.000359794211274,0.0001622659568699,1.1643611777520702e-05,0.8615735772886738
412549129_30960821_0,4,3,3,4,2367.36995539994,262.12446448734386,0.0,0.0,0.0,0.066159473976944,0.0441063159846293,0.066159473976944,18.0812550497346,0.0040338142762625,0.0002303538319419,2.061997264788901e-05,0.8275370501556535
387127642_387127632_0,2,2,1,5,1474.5335515608558,223.5718595695552,1172.8242014332268,280.90677231390185,0.0,0.0,0.0,0.0,19.0475052695359,0.0004814335386877,0.0002019406699521,6.304311566064456e-06,0.7885567895043293
425648709_2686563658_0,3,3,2,5,1131.2835480734,635.2790367936415,556.0442675493567,80.85768507422632,0.0,0.0,0.0,0.0375528389147717,13.104059092076412,0.0001806631596296,0.0001578181249655,2.244708550377303e-05,0.8165496689708334
30243253_533662625_0,3,3,2,5,1994.354630817172,485.41138351616297,0.0,130.84192398322162,0.0,0.016133454526415,0.0,0.080667272632075,20.090763803942394,0.0014228008712219,0.0002102488782929,1.2420624167854608e-05,0.8401238710524894
126683897_402883109_0,3,3,2,5,2362.662476393582,210.92216983283012,623.2745609278254,42.57117955263425,0.0,0.1255597435550312,0.0535129983168081,0.0837064957033541,11.89082559071899,0.0026321364020166,0.0002300948155753,2.3063372176385192e-05,0.8043738168845536
415935111_415935210_0,4,3,3,4,3393.3230152692445,855.3511219168388,113.14089376860478,0.0,0.0,0.0325870620558975,0.0,0.0977611861676925,19.70799858704052,0.0012906879531554,0.0002385686088546,2.873200241905644e-05,0.8229949427441876
4589037149_358505162_0,4,3,3,4,486.4627851567207,850.0562934134333,441.7168945087436,0.0,20.788035353000403,0.1673073764890381,0.0499788805826801,0.0,50.0,0.0053790804368245,0.0001737552286668,2.2494021779537343e-05,0.859266769246044
252826185_30247091_0,3,3,3,2,2256.3502733706687,0.0,134.68475164169735,0.0,267.8521187090348,0.0501600416850676,0.0,0.0358286012036197,46.59799652408058,0.0050284286404128,0.0002164473694429,1.1563539904816378e-05,0.8409979465505166
13406594113_8529268154_0,4,3,3,4,473.9715357627214,0.0,693.9287916531116,0.0,0.0,0.105721897093074,0.052860948546537,0.0,50.0,0.0010857873475307,0.0001952856805228,2.290126387612561e-05,0.8507118387125572
1012338252_1012343432_0,2,2,2,6,2647.0878643668534,614.3645713271973,736.8929780463981,170.86428370784378,0.0,0.0,0.0088856289745018,0.0088856289745018,8.335192017259493,0.0030048153902808,0.0001693598683443,1.805639044162621e-05,0.8576820356336439
420058174_7078045305_0,3,2,2,5,644.3535447907208,1545.788776386928,1960.83758205406,415.2294334937187,0.0,0.0976055759675264,0.0535129983168081,0.0,36.9730854282384,0.0051380622691885,0.0001138722196736,2.3175662114517947e-06,0.7428100174990944
30617636_2628897485_0,3,3,2,5,1079.666753982232,420.0151043806384,1039.9690559590117,173.35262737930466,0.0,0.0,0.0137675158517802,0.0,10.168370876952622,0.0085828438164598,0.0002083526698908,2.1024419344609805e-05,0.8066089597176186
30689100_30689098_0,4,4,3,5,1776.1975221025075,265.45633151047207,431.8915761662376,0.0,0.0,0.0474466898141218,0.0237233449070609,0.0,14.047242035767775,0.0103112876724632,0.0002081876046272,2.446973768632083e-05,0.8382467241020187
412454890_412453359_0,2,2,2,5,1693.1883643206706,1276.8959376511643,93.2772746397843,79.49569983675784,0.0,0.0,0.0,0.0201959187887351,23.23179060961712,0.0003925712755472,0.0002036762260735,1.7934978453184267e-05,0.8019599485790122
30252209_3497472682_0,3,3,2,6,1136.0954078247578,876.5200944976586,434.8107714479375,237.67001183949424,193.5609900470208,0.0098417329956262,0.0295251989868788,0.1279425289431414,7.466472532722692,0.0002241147467503,0.0001943649358971,7.78109989551489e-06,0.8262691351852702
1532752080_750591201_0,4,4,3,5,2306.12830674358,0.0,136.24947484810943,0.0,0.0,0.0373843732405481,0.0074768746481096,0.0299074985924385,16.768304446902196,0.0009187624606216,0.0002051318836341,1.5199131071066223e-05,0.8349800340844997
